1442,46237,57655,51982,54361,50947,45367,85461,86290,88453,79439,83453,73433,37524,40598,40506,43663,41433,35286,36971,35822,37555,39661,37463,35867
1472,47488,50725,52555,53129,51122,45008,82886,87284,88576,83722,83549,72784,38686,42857,42006,43190,43339,38457,37325,41300,40304,41302,38276,37275
1502,50686,57539,55914,57045,51586,47367,83043,86459,86333,82355,82925,74945,42651,47963,51108,48637,46708,38025,36363,43429,47524,42214,42771,37065
1532,45227,54969,54616,51241,51947,46829,80059,83775,84884,82796,84416,73414,42194,49559,49929,47369,46459,43094,40435,41671,42484,43390,40075,39545
1562,48220,52535,60861,53220,51200,45606,78943,84765,85435,86424,83702,75657,46565,50584,48975,54975,49024,43859,41924,41837,50778,45067,43596,38702
1592,47373,52825,56580,58498,50014,47596,80918,87147,86194,85304,84939,75410,45831,50698,52424,53029,51059,46533,46027,46996,50253,48125,44520,43639
1622,47378,51175,57398,55296,49975,47045,77518,82096,84400,83361,84025,74700,42794,49943,52631,50976,53108,45124,43455,47775,49124,46659,44494,44390
1652,48508,53335,53184,51296,50080,45380,79653,78529,80196,83541,84008,73702,44761,49271,52698,52976,52506,44147,44761,50292,53208,49214,45141,46210
1682,50006,51563,56743,57229,50000,46067,77271,82186,83084,84629,81594,73259,43018,49906,53392,53386,53300,49973,53361,55369,57073,55178,51465,47563
1712,48482,57325,53084,51902,54971,44625,75278,77504,81588,85257,84931,72837,44920,48463,52733,55155,53878,47827,48120,49900,54508,51169,48041,46443
1742,46484,51596,59157,52878,50245,43839,77951,78553,78988,83573,84686,73876,45333,51610,51775,53567,53910,46951,50812,53739,53073,52322,49727,48549
1772,49504,53420,53392,50694,52380,44976,74241,77376,76506,86880,82894,73553,47718,49335,52700,55194,51261,47718,52763,56729,54159,53543,52027,48229
1802,46561,51198,54006,54047,50949,44871,78157,74853,80892,84641,82043,75802,45873,50606,52853,57998,55778,43992,52816,58671,60800,58743,56437,51931
1832,49841,53063,53161,53953,54292,45918,74539,76492,81904,84904,84353,74569,45922,53073,52820,58002,58737,46859,50475,54388,54288,60584,60767,55663
1862,46980,52008,53322,54088,51173,47486,74563,76410,78724,83555,84406,74229,46341,51396,51994,52380,55769,46547,55425,53731,56655,63525,59722,53945
1892,46827,53827,55600,53257,51071,47114,73539,74996,78792,85857,86106,74876,48710,51545,52861,53112,54455,48875,56031,54812,55314,67380,59663,55524
1922,46614,55876,52537,52994,52863,46698,73657,75869,75294,85141,82178,73325,45622,52912,52778,56908,54371,45655,49176,55859,54114,62029,59941,57214
1952,50349,50971,56555,53773,50898,47482,74855,77820,74610,81876,83357,75473,46671,54025,57233,53653,54739,48894,55718,56029,59798,63308,60863,55176
1982,46831,51700,60071,55253,52524,47075,77516,74439,73755,83727,82035,74310,45341,49331,53186,51216,51780,50506,52594,54980,57778,61369,60043,57212
2012,48873,53651,54424,55645,51473,45527,71722,72812,73347,88004,85443,74582,44131,52006,56596,56229,53984,49010,53296,54790,60082,67751,61416,56114
2042,50514,53708,55255,53600,50955,47506,67661,77751,73986,85014,84557,75461,46669,50916,59957,52533,57133,47210,53678,55825,57124,68947,63129,59439
2072,46551,52927,55516,54906,51012,47575,66608,71920,72700,85006,83625,70035,46492,50261,59131,52551,52473,47443,54222,54553,61618,66333,59749,59553
2102,50239,53035,54880,54212,52253,45292,69000,69808,73827,83647,83182,75729,45555,50278,56957,55365,54002,47735,52245,56637,60339,71006,66455,57384
