1200,56494,59055,62004,58471,55325,50388,72825,81220,81010,86802,87684,77625,54314,62580,64688,54582,53602,44653,41149,46975,45900,51480,48475,42831
1230,55010,53971,56076,56882,51525,51916,70837,79625,79524,84927,85178,74171,52835,63669,63396,55339,52806,46027,40727,46016,44582,48225,49343,44084
1260,56053,55692,61790,55139,55012,51163,74447,79188,79467,86443,86606,72657,53618,63375,61710,53855,57273,47392,38988,48225,47112,50214,50280,44686
1290,54873,54222,56584,57910,53575,49218,73798,77873,78957,85149,85918,75414,54243,63353,65639,58814,53792,49569,44222,48925,50567,51780,49500,46059
1320,54092,61324,59308,58957,54339,50349,73384,82547,86500,84959,88506,78353,60241,67200,72000,58116,59110,50190,42182,55649,52759,55159,52755,46741
1350,53280,60302,60520,55780,56588,51625,73520,81184,84841,85951,86380,74582,57933,71790,72508,60133,57784,48661,46492,54425,54129,59818,54741,48553
1380,53612,55882,61871,57261,54629,48696,71794,77680,79945,85376,86069,75288,60424,67673,70851,57843,57080,50716,48245,55967,56684,62161,54441,50112
1410,53729,56331,59324,57900,54329,49778,73394,81402,81255,86475,87090,75688,59924,68106,68106,57245,60076,51286,48990,59400,56876,61129,58106,53282
1440,54869,57310,62657,56822,51404,47959,73137,80024,82971,87178,89604,76151,64243,67898,73057,55965,58155,54410,45510,54918,59269,59976,60557,52967
1470,52580,54943,57367,58300,55755,51071,71375,80290,83678,87543,86776,75173,60427,70080,72031,56182,57212,51404,47696,56922,61461,62455,60959,52641
1500,55543,58802,64214,58884,53659,48245,71869,82394,82908,86920,87973,75020,63759,70543,70924,60769,57876,50390,52749,61971,64043,65420,63937,56680
1530.25,52516,54125,57520,58412,53420,50778,71967,77220,81418,85310,86204,73892,63596,66504,70251,62016,58784,51622,52075,61010,63727,68031,65629,57210
1560,56382,53925,60884,58471,53157,51461,75696,82010,84484,86616,88461,76027,65627,70665,78188,59488,57986,52294,55916,65229,66286,65425,68145,59171
1590,50800,56249,56606,55992,51682,50424,72725,80843,78922,87349,86710,73831,62435,70133,74145,62778,62541,50441,60190,67784,66539,69171,66916,59127
1620,55908,59571,58320,59027,54114,50367,73102,81688,83473,88392,88480,76520,63461,72057,72982,59308,60551,51727,59484,65822,67682,71535,69794,62320
1650,56716,58924,62784,57202,55708,50151,73775,78037,84894,88996,88598,76998,66459,75575,75924,59020,58702,52945,58847,70967,67639,73933,67386,61492
1680.25,56880,61929,60939,59975,55994,49704,74845,81557,82690,90500,87049,76431,64335,73875,73435,61269,60747,53278,59722,67461,70259,71257,69527,61229
1710,53190,57320,58425,57288,54949,47880,72088,82002,82031,87035,90082,76288,64537,71324,72727,60324,56725,51714,57265,68831,70339,72327,67639,59225
1740,54635,55459,60784,58145,54159,50231,76178,81929,83820,87888,89090,76539,66318,73139,74061,60871,60561,52098,59176,65149,67775,72690,69408,62443
1770.25,53704,59084,65082,57304,54837,51325,73847,84549,82557,86516,87496,78004,64982,69655,72000,57533,62194,52469,62425,69822,69861,72122,71088,62249
1800.25,53671,59041,59241,56502,52918,48998,76416,83302,84578,86686,88751,76904,65271,74000,76067,60224,60665,52488,61957,67520,71359,73124,70655,61729
1830.25,59206,57225,59108,59404,53573,49710,74147,81567,82798,89355,90484,77943,63739,72096,78924,63143,61294,54716,59592,68602,67975,73431,70961,65967
1860.25,55471,59029,59698,57441,54531,48543,74320,81714,84847,89206,89478,77667,64510,74337,73133,58341,63310,51973,62139,66294,70822,72935,69976,63853
1890,58127,61618,61624,64008,55629,50898,75955,80420,85063,89433,88914,75112,64057,73100,76502,60780,59896,53873,59482,69825,68516,76224,74433,66351
1920.25,54567,61545,64555,59302,56737,51090,76339,83796,84116,87680,90043,76675,67039,74194,79647,59900,64025,53831,62904,68310,70514,74106,70655,65137
1950,59033,56596,59845,58157,53724,51194,74980,81102,82094,84963,87861,78647,65188,77920,74437,59845,61737,54280,59449,67747,71475,78767,72608,62712
