"1954,5","81,292","81,841","81,153","95,802","95,914","96,043","77,957","71,533","77,898","93,953","93,922"
"1984,5","82,324","82,247","81,908","95,647","95,657","95,608","78,684","72,398","80,453","93,967","93,804"
"2014,5","83,806","83,092","83,135","95,663","95,49","95,51","80,063","74,588","80,176","93,429","93,229"
"2044,5","81,282","82,837","81,5","95,094","95,48","95,139","78,351","71,322","78,263","93,406","93,365"
"2074,5","82,871","82,837","84,251","94,973","95,549","95,043","80,2","71,861","79,91","92,984","93,188"
"2104,5","82,853","83,214","82,973","94,884","94,755","94,824","78,922",73,"79,78","93,11","93,18"
"2134,5","81,933","81,935","82,157","94,467","94,988","94,986","79,616","71,712","78,927","92,645","92,42"
"2164,5","82,376","83,504","82,706","94,933","94,761","94,857","79,561","71,612","79,824","92,949","92,829"
"2194,5","82,89","82,51","83,28","94,388","94,629","94,724","79,208","73,257","79,316","92,678","92,2"
"2224,5","83,698","83,733","84,576","94,188","94,347","94,433","81,194","74,635","81,502","92,414","92,271"
"2254,5","82,929","82,676","83,176","94,096","94,141","94,494","79,52","72,902","79,312","92,263","92,359"
"2284,5","82,549","82,259","82,918","94,09","93,912","94,237","79,569","73,229","79,551","92,055","92,049"
"2316,5","83,259","83,788","83,473","93,939","94,143","94,084","80,718","72,969","80,692","91,831","91,929"
"2346,5","83,414","83,157","83,875","93,725","93,767","93,804","80,198","73,394","80,241","91,649","91,539"
"2376,5","82,324","82,963","82,625","93,437","94,171","93,945","79,167","72,425","80,116","91,755","91,602"
"2406,5","82,855","82,69","82,271","93,557","93,62","93,816","79,324","73,065","80,012","91,347","91,157"
"2436,5","82,89","82,986","82,788","93,124","93,747","93,225","79,135","73,063","79,125","91,825","91,514"
"2466,5","81,9","81,988","82,637","93,006","93,2","93,053","79,151","72,224","78,037","91,69","91,82"
"2496,5","82,275","82,222","82,051","92,669","92,984","93,22","78,678","72,622","79,175","91,653","91,149"
"2526,5","81,79","81,533","81,714","92,378","93,024","92,522","77,949","71,673","78,284","91,18","90,961"
"2556,5","82,12","82,333","81,943","92,102","92,451","93,276","79,098","72,716","78,657","90,776","90,688"
"2586,5","81,496","81,324","82,167","92,31","92,931","92,704","78,518","71,906","78,161","90,696","90,441"
"2616,5","81,953","81,557","82,202","92,241","92,171","92,388","78,804","72,7","79,425","90,559","90,514"
"2646,5","81,749","82,575","81,767","91,873","92,153","92,341","78,898","72,041","77,986","90,32","90,247"
"2676,5","81,347","80,835","81,367","92,139","92,292","92,292","77,941","71,547","78,057","90,061","90,078"
"2706,5","81,437","81,133","81,104","91,757","91,898","92,061","78,098","71,8","77,951","90,071","89,4"
"2736,5","80,473","80,951","81,163","91,492","91,849","91,775","77,708","71,2","77,939","89,92","89,82"
"2766,5","80,255","80,557","81,069","91,422","91,816","91,553","77,743","70,953","77,461","89,876","89,922"
"2796,5","80,51","80,302","80,857","91,606","91,529","91,959","77,871","71,078","77,516","89,573","89,488"
"2826,5","79,973","79,767","79,92","90,943","91,241","91,512","77,067","70,196","77,006","89,855","89,441"
"2856,5","80,565","80,4","80,886","90,878","91,48","91,351","77,933","71,327","78,112","89,5","89,127"
"2886,5","80,41","80,008","80,606","90,933","91,361","91,304","76,682","70,431","77,035","89,051","88,882"
"2916,5","79,945","79,782","79,804","90,906","91,076","91,08","77,12","70,878","77,145","89,288","89,1"
"2946,5","79,431","80,084","79,912","90,467","90,808","90,912","76,41","70,029","77,147","89,127","89,241"
"2976,5","78,941","78,988","79,292","90,249","90,72","90,449","76,094","69,865","75,931","88,841","88,567"
"3006,5","79,037","79,269","79,186","90,278","90,684","90,473","76,296","69,473","76,318","88,743","88,688"
"3036,5","78,457","78,455","79,227","89,986","90,425","90,318","75,735","69,869","75,88","88,782","88,392"
"3066,5","78,359","78,169","78,225","89,857","90,153","90,141","75,118","68,933","75,267","88,651","88,859"
"3096,5","78,722","78,512","78,876","90,08","90,131","90,082","75,604","70,067","76,559","88,743","88,124"
"3126,5","78,686","77,825","78,827","90,11","90,437","90,494","75,045","69,157","75,106","88,084","88,273"
"3156,5","77,747","77,749","77,949","89,58","90,357","89,698","74,931","68,482","74,794","88,82","88,157"
"3186,5","77,418","77,602","77,824","89,375","89,455","89,367","74,631","68,651","74,625","88,396","88,053"
"3216,5","77,114","77,218","77,206","89,037","89,596","89,539","73,425","67,725","74,384","88,049","87,955"
"3246,5","77,8","77,516","77,9","89,616","89,753","89,771","74,849","68,939","74,473","87,939","87,943"
"3276,5","77,329","77,412","77,637","89,345","89,598","89,68","74,931","68,761","74,686","87,614","88,184"
"3306,5","77,992","77,429","77,676","89,904","89,882","89,7","74,12","68,506","74,302","88,175","87,606"
"3336,5","77,037","76,955","77,122","88,963","89,645","89,118","74,035","68,127","73,788","87,424","87,835"
"3366,5","76,757","76,714","76,869","89,037","89,463","89,455","73,655","68,008","73,9","87,775","87,324"
"3396,5","76,641","76,375","77,118","88,714","89,225","89,245","73,794","67,265","73,812","87,575","87,437"
"3426,5","76,575","76,902","77,082","88,906","88,88","89,173","74,035","68,612","74,469","87,208","87,841"
"3456,5","76,802","76,353","76,486","89,008","89,11","89,149","73,827","67,988","73,833","87,01","87,298"
"3486,5","75,733","76,365","76,298","88,724","89,076","88,525","73,382","67,437","73,478","87,259","86,698"
"3516,5","75,973","76,11","76,304","88,092","88,561","88,59","73,386","67,318","73,486","86,929","86,882"
"3546,5","75,361","75,931","76,153","87,765","88,263","88,024","73,039","67,567","72,939","86,875","86,939"
"3576,5","75,457","75,604","75,845","88,347","88,886","88,49","72,455","67,161","72,439","86,91","87,012"
"3606,5","74,867","75,329","75,329","87,973","88,6","88,284","72,135","66,769","72,524","86,853","86,733"
"3636,5","75,239","75,273","75,392","88,151","88,324","88,341","73,135","67,169","73,298","86,788","86,567"
"3666,5",75,"75,055","75,41","87,341","88,347","88,237","72,298","66,669","72,994","86,398","86,729"
"3696,5","76,004","75,369","76,58","87,994","88,447","88,329","72,288","66,908","72,42","86,388","86,533"
"3726,5","75,229","75,471","75,361","87,267","87,902","87,978","72,402","66,675","72,324","86,243","85,967"
"3769,5","75,735","75,555","75,476","87,437","88,169","88,355","72,069","66,5","72,071","86,229","86,133"
"3799,5","73,875","74,365","74,327","86,99","87,704","87,588","71,078","65,712","71,286","86,357","86,218"
"3829,5","74,931","74,957","75,398","87,373","87,327","87,582","71,943","66,9","72,504","85,833","85,867"
3841,"74,527","74,469","75,508","86,963","87,516","87,91","71,19","65,892","72,09","86,447","86,092"
"3845,5","74,888","74,541","75,447","87,586","88,255","88,092","71,571","66,641","72,082","86,186","85,975"
"3878,25","74,818","74,778","74,849","87,359","87,888","87,91","71,369","66,58","71,675","86,12","85,798"
